timestamp,available_mem_mb,min_free_kb,fork_possible
1763845266,11886,67584,yes
1763845268,11983,67584,yes
1763845271,11867,67584,yes
1763845274,11951,67584,yes
1763845276,11837,67584,yes
1763845285,11866,67584,yes
1763845290,11985,67584,yes
1763845293,11983,67584,yes
1763845296,11815,67584,yes
1763845298,11452,67584,yes
1763845302,11029,67584,yes
1763845305,10634,67584,yes
1763845308,9958,67584,yes
1763845312,8657,67584,yes
1763845315,8473,67584,yes
1763845323,6921,67584,yes
1763845330,3791,67584,yes
1763845343,1103,67584,yes
1763845360,674,67584,marginal
